time_from_launch[s],elapsed_time[s],launch_clear?,combusting?,para_opened?,air_density[kg/m3],gravity[m/s2],pressure[Pa],temperature[C],wind_x[m/s],wind_y[m/s],wind_z[m/s],mass[kg],Cg_from_nose[m],inertia moment pitch & yaw[kg*m2],inertia moment roll[kg*m2],attack angle[rad],altitude[m],velocity[m/s],airspeed[m/s],accel[m/s2],longitudinal accel[m/s2],normal_force[N],Cnp,Cny,Cmqp,Cmqy,Cp_from_nose[m],Cd,Cna,latitude,longitude,downrange[m],Fst[%],dynamic_pressure[Pa],
0.00100000,0.00100000,0,1,"0",1.22522568,9.80665000,101325.00000000,15.00000000,-0.00000000,-0.00000000,-0.00000000,8.24294303,1.07399652,1.97098364,0.02002000,-0.00000000,0.00000000,0.00000000,0.00000000,9.21530033,-9.21530033,0.00000000,0.00000000,0.00000000,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286500,140.01045000,0.00000000,15.22405397,0.00000000,
0.01100000,0.01100000,0,1,"0",1.22522568,9.80665000,101324.99978616,14.99999988,-0.58185753,-0.42367591,-0.00000000,8.24237333,1.07396167,1.97082000,0.02022000,-1.82234108,0.00003540,0.02802807,0.71834793,9.30047975,9.30047975,0.00000000,4.68518234,-18.60750861,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286500,140.01045000,0.00001288,15.22578773,0.31612277,
0.02100000,0.02100000,0,1,"0",1.22522559,9.80665000,101324.99043712,14.99999483,-1.09622187,-0.79820708,-0.00000000,8.24180364,1.07392682,1.97065636,0.02042000,-1.34712510,0.00097916,0.22287922,1.35279568,27.81862666,27.81862666,0.00000000,4.34629202,-17.26158349,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286500,140.01045000,0.00035639,15.22752148,1.12111581,
0.03100000,0.03100000,0,1,"0",1.22522524,9.80664999,101324.95440045,14.99997533,-1.42219914,-1.03556538,-0.00000000,8.24123394,1.07389197,1.97049273,0.02062000,-0.93853899,0.00423588,0.49610003,1.78018105,26.91614417,26.91614417,0.00000000,3.99775664,-15.87735241,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286501,140.01044999,0.00154174,15.22925524,1.94139670,
0.04100000,0.04100000,0,1,"0",1.22522458,9.80664997,101324.88787093,14.99993934,-1.65229166,-1.20310580,-0.00000000,8.24066424,1.07385712,1.97032909,0.02082000,-0.73189570,0.01002188,0.76029548,2.10973836,26.01355069,26.01355069,0.00000000,3.74423527,-14.87047568,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286502,140.01044997,0.00364767,15.23098899,2.72673482,
0.05100000,0.05100000,0,1,"0",1.22522364,9.80664995,101324.79186769,14.99988741,-1.83171098,-1.33374885,-0.00000000,8.24009455,1.07382227,1.97016545,0.02102000,-0.60922205,0.01825233,1.01546440,2.39114411,25.11083613,25.11083613,0.00000000,3.53994583,-14.05912680,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286504,140.01044994,0.00664330,15.23272275,3.50265106,
0.06100000,0.06100000,0,1,"0",1.22522243,9.80664991,101324.66741006,14.99982008,-1.98054746,-1.44212320,-0.00000000,8.23952485,1.07378742,1.97000182,0.02122000,-0.52847571,0.02884241,1.26160553,2.64513200,24.20799371,24.20799371,0.00000000,3.36935921,-13.38163086,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286506,140.01044990,0.01049778,15.23445651,4.28627116,
0.07100000,0.07100000,0,1,"0",1.22522094,9.80664988,101324.51551749,14.99973791,-2.10869352,-1.53543195,-0.00000000,8.23895515,1.07375258,1.96983818,0.02142000,-0.47143024,0.04170728,1.49871758,2.88090613,23.30502069,23.30502069,0.00000000,3.22421397,-12.80517702,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286509,140.01044986,0.01518021,15.23619026,5.08443418,
0.08100000,0.08100000,0,1,"0",1.22521919,9.80664983,101324.33711472,14.99964141,-2.22180988,-1.61779692,-0.00000000,8.23838545,1.07371773,1.96967455,0.02162000,-0.42824963,0.05677295,1.73065122,3.10460361,23.10229404,23.10229404,0.00000000,3.09669661,-12.29873347,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286512,140.01044981,0.02066366,15.23792402,5.90467655,
0.09100000,0.09100000,0,1,"0",1.22521719,9.80664978,101324.13260471,14.99953077,-2.32364654,-1.69194864,-0.00000000,8.23781576,1.07368288,1.96951091,0.02182000,-0.39364549,0.07400951,1.96055739,3.32121870,22.89952654,22.89952654,0.00000000,2.98103238,-11.83936538,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286515,140.01044975,0.02693726,15.23965777,6.75737520,
0.10100000,0.10100000,0,1,"0",1.22521493,9.80664972,101323.90221652,14.99940614,-2.41668514,-1.75969411,-0.00000000,8.23724606,1.07364803,1.96934727,0.02202000,-0.36528140,0.09339790,2.18843566,3.53285604,22.69671681,22.69671681,0.00000000,2.87567728,-11.42094071,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286519,140.01044969,0.03399406,15.24139153,7.64599777,
0.11100000,0.11100000,0,1,"0",1.22521243,9.80664965,101323.64617929,14.99926764,-2.50261604,-1.82226416,-0.00000000,8.23667636,1.07361318,1.96918364,0.02222000,-0.34159153,0.11491908,2.41428561,3.74078934,22.49386408,22.49386408,0.00000000,2.77933614,-11.03831557,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286524,140.01044962,0.04182712,15.24312528,8.57250803,
0.12100000,0.12100000,0,1,"0",1.22520967,9.80664958,101323.36472221,14.99911538,-2.58265286,-1.88054247,-0.00000000,8.23610667,1.07357833,1.96902000,0.02242000,-0.32149208,0.13855397,2.63810681,3.94582024,22.29096792,22.29096792,0.00000000,2.69092040,-10.68716667,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286529,140.01044954,0.05042952,15.24485904,9.53794936,
0.13100000,0.13100000,0,1,"0",1.22520667,9.80664950,101323.05803024,14.99894947,-2.65771217,-1.93519643,-0.00000000,8.23553697,1.07354348,1.96885636,0.02262000,-0.30404697,0.16428858,2.86169658,4.14937844,22.41490239,22.41490239,0.00000000,2.60871305,-10.36067481,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286534,140.01044945,0.05979615,15.24659279,10.54740079,
0.14100000,0.14100000,0,1,"0",1.22520342,9.80664942,101322.72604482,14.99876987,-2.72854600,-1.98677364,-0.00000000,8.23496727,1.07350864,1.96869273,0.02282000,-0.28857812,0.19212948,3.08652568,4.35308277,22.53883366,22.53883366,0.00000000,2.53120572,-10.05284934,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286540,140.01044936,0.06992941,15.24832655,11.60839170,
0.15100000,0.15100000,0,1,"0",1.22519992,9.80664933,101322.36862622,14.99857652,-2.79574887,-2.03570699,-0.00000000,8.23439758,1.07347379,1.96852909,0.02302000,-0.27476352,0.22208833,3.31259405,4.55736858,22.66276073,22.66276073,0.00000000,2.45805346,-9.76232037,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286546,140.01044926,0.08083354,15.25006030,12.72346122,
0.16100000,0.16100000,0,1,"0",1.22519617,9.80664923,101321.98563475,14.99836933,-2.85978790,-2.08233660,-0.00000000,8.23382788,1.07343894,1.96836545,0.02322000,-0.26234621,0.25417677,3.53990166,4.76254446,22.78668272,22.78668272,0.00000000,2.38893208,-9.48780028,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286552,140.01044915,0.09251278,15.25179406,13.89484540,
0.17100000,0.17100000,0,1,"0",1.22519216,9.80664912,101321.57693071,14.99814824,-2.92103825,-2.12693567,-0.00000000,8.23325818,1.07340409,1.96820182,0.02342000,-0.25111924,0.28840644,3.76844845,4.96883168,22.91059882,22.91059882,0.00000000,2.32354101,-9.22809533,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286559,140.01044904,0.10497136,15.25352782,15.12456123,
0.18100000,0.18100000,0,1,"0",1.22518791,9.80664901,101321.14230639,14.99791312,-2.97981552,-2.16973396,-0.00000000,8.23268848,1.07336924,1.96803818,0.02362000,-0.24077171,0.32479678,4.00099740,5.17799075,23.53689181,23.53689181,0.00000000,2.26072000,-8.97859759,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286567,140.01044892,0.11821636,15.25526157,16.42461682,
0.19100000,0.19100000,0,1,"0",1.22518339,9.80664889,101320.68117972,14.99766366,-3.03642397,-2.21095305,-0.00000000,8.23211879,1.07333439,1.96787455,0.02382000,-0.23105066,0.36339885,4.23980952,5.39226361,24.16323699,24.16323699,0.00000000,2.19937786,-8.73497325,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286575,140.01044879,0.13226636,15.25699533,17.81202663,
0.20100000,0.20100000,0,1,"0",1.22517861,9.80664877,101320.19284381,14.99739948,-3.09112382,-2.25078241,-0.00000000,8.23154909,1.07329955,1.96771091,0.02402000,-0.22191776,0.40427150,4.48488533,5.61196807,24.78963191,24.78963191,0.00000000,2.13961848,-8.49763498,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286583,140.01044865,0.14714279,15.25872908,19.29300131,
0.21100000,0.21100000,0,1,"0",1.22517356,9.80664864,101319.67659176,14.99712020,-3.14412744,-2.28937666,-0.00000000,8.23097939,1.07326470,1.96754727,0.02422000,-0.21333414,0.44747360,4.73622530,5.83735924,25.41607413,25.41607413,0.00000000,2.08151063,-8.26685585,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286592,140.01044851,0.16286707,15.26046284,20.87374923,
0.22100000,0.22100000,0,1,"0",1.22516822,9.80664850,101319.13171664,14.99682543,-3.19561057,-2.32686378,-0.00000000,8.23040970,1.07322985,1.96738364,0.02442000,-0.20526177,0.49306401,4.99382990,6.06864311,26.04256119,26.04256119,0.00000000,2.02509593,-8.04280116,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286602,140.01044836,0.17946062,15.26219659,22.56051056,
0.23100000,0.23100000,0,1,"0",1.22516260,9.80664835,101318.55752507,14.99651480,-3.24571931,-2.36335014,-0.00000000,8.22984000,1.07319500,1.96722000,0.02462000,-0.19768205,0.54110006,5.25714891,6.30563754,26.56896823,26.56896823,0.00000000,1.97052424,-7.82606612,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286612,140.01044820,0.19694431,15.26393035,24.35688474,
0.24100000,0.24100000,0,1,"0",1.22515668,9.80664820,101317.95339824,14.99618797,-3.29457172,-2.39892171,-0.00000000,8.22927030,1.07316015,1.96705636,0.02482000,-0.19057583,0.59163275,5.52573210,6.54802598,27.09540388,27.09540388,0.00000000,1.91792294,-7.61715661,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286622,140.01044803,0.21533671,15.26566410,26.26530361,
0.25100000,0.25100000,0,1,"0",1.22515047,9.80664803,101317.31874224,14.99584463,-3.34226785,-2.43365135,-0.00000000,8.22870061,1.07312530,1.96689273,0.02502000,-0.18390246,0.64471157,5.79957977,6.79588278,27.62186601,27.62186601,0.00000000,1.86723392,-7.41584186,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286633,140.01044785,0.23465582,15.26739786,28.29118857,
0.26100000,0.26100000,0,1,"0",1.22514395,9.80664786,101316.65296314,14.99548445,-3.38889497,-2.46760260,-0.00000000,8.22813091,1.07309045,1.96672909,0.02522000,-0.17762551,0.70038597,6.07869215,7.04926680,28.14835246,28.14835246,0.00000000,1.81839597,-7.22187872,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286644,140.01044767,0.25491964,15.26913161,30.44002603,
0.27100000,0.27100000,0,1,"0",1.22513712,9.80664769,101315.95546703,14.99510711,-3.43452973,-2.50083126,-0.00000000,8.22756121,1.07305561,1.96656545,0.02542000,-0.17171234,0.75870543,6.36306948,7.30822427,28.67486103,28.67486103,0.00000000,1.77134599,-7.03501663,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286656,140.01044747,0.27614619,15.27086537,32.71737371,
0.28100000,0.28100000,0,1,"0",1.22512997,9.80664750,101315.22570856,14.99471231,-3.47923701,-2.53338458,-0.00000000,8.22699152,1.07302076,1.96640182,0.02562000,-0.16617563,0.81971387,6.65074122,7.57146024,28.84306170,28.84306170,0.00000000,1.72636460,-6.85637013,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286669,140.01044727,0.29835145,15.27259913,35.11651922,
0.29100000,0.29100000,0,1,"0",1.22512251,9.80664730,101314.46340939,14.99429990,-3.52305999,-2.56529401,-0.00000000,8.22642182,1.07298591,1.96623818,0.02582000,-0.16102674,0.88343266,6.94009485,7.83731022,29.01124220,29.01124220,0.00000000,1.68372274,-6.68701516,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286682,140.01044706,0.32154319,15.27433288,37.62561427,
0.30100000,0.30100000,0,1,"0",1.22511472,9.80664710,101313.66838025,14.99386979,-3.56603485,-2.59658589,-0.00000000,8.22585212,1.07295106,1.96607455,0.02602000,-0.15622371,0.94987759,7.23113015,8.10570311,29.17940181,29.17940181,0.00000000,1.64323581,-6.52621867,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286696,140.01044684,0.34572717,15.27606664,40.24650290,
0.31100000,0.31100000,0,1,"0",1.22510662,9.80664689,101312.84043190,14.99342186,-3.60819650,-2.62728563,-0.00000000,8.22528242,1.07291621,1.96591091,0.02622000,-0.15173060,1.01906447,7.52384692,8.37657596,29.34753980,29.34753980,0.00000000,1.60473850,-6.37332407,-3.00000000,-3.00000000,1.38000000,0.50000000,11.74700000,40.24286710,140.01044660,0.37090913,15.27780039,42.98104315,
