time_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pressure,temperature,is_launched,base_time_ms
0,0,0,-9.2153,0,0,0,1013.25,15,0,0
20,0,0,-9.2153,0,0,0,1013.25,15,0,0
51,0,0,-9.2153,0,0,0,1013.25,15,0,0
83,0,0,-9.2153,0,0,0,1013.25,15,0,0
114,0,0,-9.2153,0,0,0,1013.25,15,0,0
145,0,0,-9.2153,0,0,0,1013.25,15,0,0
176,0,0,-9.2153,0,0,0,1013.25,15,0,0
207,0,0,-9.2153,0,0,0,1013.25,15,0,0
238,0,0,-9.2153,0,0,0,1013.25,15,0,0
270,0,0,-9.2153,0,0,0,1013.25,15,0,0
301,0,0,-9.2153,0,0,0,1013.25,15,0,0
332,0,0,-9.2153,0,0,0,1013.25,15,0,0
362,0,0,-9.2153,0,0,0,1013.25,15,0,0
394,0,0,-9.2153,0,0,0,1013.25,15,0,0
425,0,0,-9.2153,0,0,0,1013.25,15,0,0
456,0,0,-9.2153,0,0,0,1013.25,15,0,0
488,0,0,-9.2153,0,0,0,1013.25,15,0,0
519,0,0,-9.2153,0,0,0,1013.25,15,0,0
550,0,0,-9.2153,0,0,0,1013.25,15,0,0
580,0,0,-9.2153,0,0,0,1013.25,15,0,0
611,0,0,-9.2153,0,0,0,1013.25,15,0,0
642,0,0,-9.2153,0,0,0,1013.25,15,0,0
674,0,0,-9.2153,0,0,0,1013.25,15,0,0
704,0,0,-9.2153,0,0,0,1013.25,15,0,0
736,0,0,-9.2153,0,0,0,1013.25,15,0,0
767,0,0,-9.2153,0,0,0,1013.25,15,0,0
798,0,0,-9.2153,0,0,0,1013.25,15,0,0
830,0,0,-9.2153,0,0,0,1013.25,15,0,0
862,0,0,-9.2153,0,0,0,1013.25,15,0,0
892,0,0,-9.2153,0,0,0,1013.25,15,0,0
924,0,0,-9.2153,0,0,0,1013.25,15,0,0
954,0,0,-9.2153,0,0,0,1013.25,15,0,0
985,0,0,-9.2153,0,0,0,1013.25,15,0,0
1016,0,0,-9.2153,0,0,0,1013.25,15,0,0
1047,0,0,-9.2153,0,0,0,1013.25,15,0,0
1079,0,0,-9.2153,0,0,0,1013.25,15,0,0
1110,0,0,-9.2153,0,0,0,1013.25,15,0,0
1141,0,0,-9.2153,0,0,0,1013.25,15,0,0
1173,0,0,-9.2153,0,0,0,1013.25,15,0,0
1204,0,0,-9.2153,0,0,0,1013.25,15,0,0
1235,0,0,-9.2153,0,0,0,1013.25,15,0,0
1265,0,0,-9.2153,0,0,0,1013.25,15,0,0
1297,0,0,-9.2153,0,0,0,1013.25,15,0,0
1328,0,0,-9.2153,0,0,0,1013.25,15,0,0
1359,0,0,-9.2153,0,0,0,1013.25,15,0,0
1390,0,0,-9.2153,0,0,0,1013.25,15,0,0
1421,0,0,-9.2153,0,0,0,1013.25,15,0,0
1452,0,0,-9.2153,0,0,0,1013.25,15,0,0
1484,0,0,-9.2153,0,0,0,1013.25,15,0,0
1516,0,0,-9.2153,0,0,0,1013.25,15,0,0
1546,0,0,-9.2153,0,0,0,1013.25,15,0,0
1577,0,0,-9.2153,0,0,0,1013.25,15,0,0
1609,0,0,-9.2153,0,0,0,1013.25,15,0,0
1639,0,0,-9.2153,0,0,0,1013.25,15,0,0
1670,0,0,-9.2153,0,0,0,1013.25,15,0,0
1701,0,0,-9.2153,0,0,0,1013.25,15,0,0
1732,0,0,-9.2153,0,0,0,1013.25,15,0,0
1763,0,0,-9.2153,0,0,0,1013.25,15,0,0
1794,0,0,-9.2153,0,0,0,1013.25,15,0,0
1826,0,0,-9.2153,0,0,0,1013.25,15,0,0
1857,0,0,-9.2153,0,0,0,1013.25,15,0,0
1888,0,0,-9.2153,0,0,0,1013.25,15,0,0
1919,0,0,-9.2153,0,0,0,1013.25,15,0,0
1951,0,0,-9.2153,0,0,0,1013.25,15,0,0
1982,0,0,-9.2153,0,0,0,1013.25,15,0,0
2012,0,0,-9.2153,0,0,0,1013.25,15,0,0
2044,0,0,-9.2153,0,0,0,1013.25,15,0,0
2076,0,0,-9.2153,0,0,0,1013.25,15,0,0
2107,0,0,-9.2153,0,0,0,1013.25,15,0,0
2138,0,0,-9.2153,0,0,0,1013.25,15,0,0
2170,0,0,-9.2153,0,0,0,1013.25,15,0,0
2201,0,0,-9.2153,0,0,0,1013.25,15,0,0
2233,0,0,-9.2153,0,0,0,1013.25,15,0,0
2264,0,0,-9.2153,0,0,0,1013.25,15,0,0
2295,0,0,-9.2153,0,0,0,1013.25,15,0,0
2327,0,0,-9.2153,0,0,0,1013.25,15,0,0
2358,0,0,-9.2153,0,0,0,1013.25,15,0,0
2388,0,0,-9.2153,0,0,0,1013.25,15,0,0
2419,0,0,-9.2153,0,0,0,1013.25,15,0,0
2450,0,0,-9.2153,0,0,0,1013.25,15,0,0
2481,0,0,-9.2153,0,0,0,1013.25,15,0,0
2511,0,0,-9.2153,0,0,0,1013.25,15,0,0
2541,0,0,-9.2153,0,0,0,1013.25,15,0,0
2572,0,0,-9.2153,0,0,0,1013.25,15,0,0
2602,0,0,-9.2153,0,0,0,1013.25,15,0,0
2633,0,0,-9.2153,0,0,0,1013.25,15,0,0
2664,0,0,-9.2153,0,0,0,1013.25,15,0,0
2696,0,0,-9.2153,0,0,0,1013.25,15,0,0
2728,0,0,-9.2153,0,0,0,1013.25,15,0,0
2759,0,0,-9.2153,0,0,0,1013.25,15,0,0
2790,0,0,-9.2153,0,0,0,1013.25,15,0,0
2821,0,0,-9.2153,0,0,0,1013.25,15,0,0
2852,0,0,-9.2153,0,0,0,1013.25,15,0,0
2883,0,0,-9.2153,0,0,0,1013.25,15,0,0
2914,0,0,-9.2153,0,0,0,1013.25,15,0,0
2945,0,0,-9.2153,0,0,0,1013.25,15,0,0
2976,0,0,-9.2153,0,0,0,1013.25,15,0,0
3007,0,0,-9.2153,0,0,0,1013.25,15,0,0
3038,0,0,-9.2153,0,0,0,1013.25,15,0,0
3070,0,0,-9.2153,0,0,0,1013.25,15,0,0
3102,0,0,-9.2153,0,0,0,1013.25,15,0,0
3132,0,0,-9.2153,0,0,0,1013.25,15,0,0
3162,0,0,-9.2153,0,0,0,1013.25,15,0,0
3194,0,0,-9.2153,0,0,0,1013.25,15,0,0
3226,0,0,-9.2153,0,0,0,1013.25,15,0,0
3257,0,0,-9.2153,0,0,0,1013.25,15,0,0
3287,0,0,-9.2153,0,0,0,1013.25,15,0,0
3318,0,0,-9.2153,0,0,0,1013.25,15,0,0
3350,0,0,-9.2153,0,0,0,1013.25,15,0,0
3382,0,0,-9.2153,0,0,0,1013.25,15,0,0
3412,0,0,-9.2153,0,0,0,1013.25,15,0,0
3444,0,0,-9.2153,0,0,0,1013.25,15,0,0
3475,0,0,-9.2153,0,0,0,1013.25,15,0,0
3506,0,0,-9.2153,0,0,0,1013.25,15,0,0
3538,0,0,-9.2153,0,0,0,1013.25,15,0,0
3570,0,0,-9.2153,0,0,0,1013.25,15,0,0
3601,0,0,-9.2153,0,0,0,1013.25,15,0,0
3632,0,0,-9.2153,0,0,0,1013.25,15,0,0
3663,0,0,-9.2153,0,0,0,1013.25,15,0,0
3695,0,0,-9.2153,0,0,0,1013.25,15,0,0
3726,0,0,-9.2153,0,0,0,1013.25,15,0,0
3757,0,0,-9.2153,0,0,0,1013.25,15,0,0
3787,0,0,-9.2153,0,0,0,1013.25,15,0,0
3818,0,0,-9.2153,0,0,0,1013.25,15,0,0
3849,0,0,-9.2153,0,0,0,1013.25,15,0,0
3881,0,0,-9.2153,0,0,0,1013.25,15,0,0
3911,0,0,-9.2153,0,0,0,1013.25,15,0,0
3943,0,0,-9.2153,0,0,0,1013.25,15,0,0
3974,0,0,-9.2153,0,0,0,1013.25,15,0,0
4006,0,0,-9.2153,0,0,0,1013.25,15,0,0
4037,0,0,-9.2153,0,0,0,1013.25,15,0,0
4067,0,0,-9.2153,0,0,0,1013.25,15,0,0
4098,0,0,-9.2153,0,0,0,1013.25,15,0,0
4129,0,0,-9.2153,0,0,0,1013.25,15,0,0
4161,0,0,-9.2153,0,0,0,1013.25,15,0,0
4193,0,0,-9.2153,0,0,0,1013.25,15,0,0
4224,0,0,-9.2153,0,0,0,1013.25,15,0,0
4256,0,0,-9.2153,0,0,0,1013.25,15,0,0
4287,0,0,-9.2153,0,0,0,1013.25,15,0,0
4317,0,0,-9.2153,0,0,0,1013.25,15,0,0
4348,0,0,-9.2153,0,0,0,1013.25,15,0,0
4379,0,0,-9.2153,0,0,0,1013.25,15,0,0
4412,0,0,-9.2153,0,0,0,1013.25,15,0,0
4442,0,0,-9.2153,0,0,0,1013.25,15,0,0
4473,0,0,-9.2153,0,0,0,1013.25,15,0,0
4504,0,0,-9.2153,0,0,0,1013.25,15,0,0
4536,0,0,-9.2153,0,0,0,1013.25,15,0,0
4567,0,0,-9.2153,0,0,0,1013.25,15,0,0
4598,0,0,-9.2153,0,0,0,1013.25,15,0,0
4628,0,0,-9.2153,0,0,0,1013.25,15,0,0
4660,0,0,-9.2153,0,0,0,1013.25,15,0,0
4691,0,0,-9.2153,0,0,0,1013.25,15,0,0
4722,0,0,-9.2153,0,0,0,1013.25,15,0,0
4753,0,0,-9.2153,0,0,0,1013.25,15,0,0
4785,0,0,-9.2153,0,0,0,1013.25,15,0,0
4816,0,0,-9.2153,0,0,0,1013.25,15,0,0
4847,0,0,-9.2153,0,0,0,1013.25,15,0,0
4878,0,0,-9.2153,0,0,0,1013.25,15,1,9878
4909,0,0,-9.2153,0,0,0,1013.25,15,1,9878
4939,0,0,-9.2153,0,0,0,1013.25,15,1,9878
4971,0,0,-9.2153,0,0,0,1013.25,15,1,9878
5002,0,0,-9.2153,0,0,0,1013.25,15,1,9878
5032,0,0,-9.2153,0,0,0,1013.25,15,1,9878
